Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P21589	5NTD_HUMAN	reviewed	5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (CD antigen CD73)	NT5E NT5 NTE	Homo sapiens (Human)	574
P22303	ACES_HUMAN	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ACHE	Homo sapiens (Human)	614
Q9H4A9	DPEP2_HUMAN	reviewed	Dipeptidase 2 (EC 3.4.13.19)	DPEP2 UNQ284/PRO323	Homo sapiens (Human)	486
P16444	DPEP1_HUMAN	reviewed	Dipeptidase 1 (EC 3.4.13.19) (Dehydropeptidase-I) (Microsomal dipeptidase) (Renal dipeptidase) (hRDP)	DPEP1 MDP RDP	Homo sapiens (Human)	411
Q9H4B8	DPEP3_HUMAN	reviewed	Dipeptidase 3 (EC 3.4.13.19)	DPEP3 UNQ834/PRO1772	Homo sapiens (Human)	488
Q92485	ASM3B_HUMAN	reviewed	Acid sphingomyelinase-like phosphodiesterase 3b (ASM-like phosphodiesterase 3b) (EC 3.1.4.-)	SMPDL3B ASML3B ASMLPD	Homo sapiens (Human)	455
Q53HW6	Q53HW6_HUMAN	unreviewed	Lipoprotein lipase (LPL) (EC 3.1.1.34) (Fragment)		Homo sapiens (Human)	475
A8K2M5	A8K2M5_HUMAN	unreviewed	Lipoprotein lipase (LPL) (EC 3.1.1.34)		Homo sapiens (Human)	475
A0A0J9YXG7	A0A0J9YXG7_HUMAN	unreviewed	Glypican-2	GPC2	Homo sapiens (Human)	134
Q86SV6	Q86SV6_HUMAN	unreviewed	K-glypican	GPC4	Homo sapiens (Human)	552
Q59GI7	Q59GI7_HUMAN	unreviewed	Glypican 1 variant (Fragment)		Homo sapiens (Human)	325
H7BZL4	H7BZL4_HUMAN	unreviewed	Glypican-1 (Fragment)	GPC1	Homo sapiens (Human)	281
H7C024	H7C024_HUMAN	unreviewed	Glypican-1 (Fragment)	GPC1	Homo sapiens (Human)	294
I3L348	I3L348_HUMAN	unreviewed	Dipeptidase (EC 3.4.13.19) (Fragment)	DPEP2	Homo sapiens (Human)	137
Q6IAV0	Q6IAV0_HUMAN	unreviewed	Lipoprotein lipase (LPL) (EC 3.1.1.34)	LPL	Homo sapiens (Human)	475
I3L4H3	I3L4H3_HUMAN	unreviewed	Dipeptidase (EC 3.4.13.19) (Fragment)	DPEP2	Homo sapiens (Human)	114
J3QLL2	J3QLL2_HUMAN	unreviewed	Dipeptidase (EC 3.4.13.19) (Fragment)	DPEP2	Homo sapiens (Human)	161
H3BQS5	H3BQS5_HUMAN	unreviewed	Dipeptidase (EC 3.4.13.19) (Fragment)	DPEP1	Homo sapiens (Human)	107
B3KRV7	B3KRV7_HUMAN	unreviewed	Lipoprotein lipase (LPL) (EC 3.1.1.34)		Homo sapiens (Human)	461
J3KSU4	J3KSU4_HUMAN	unreviewed	Dipeptidase (EC 3.4.13.19) (Fragment)	DPEP2	Homo sapiens (Human)	122
Q6I9V1	Q6I9V1_HUMAN	unreviewed	Dipeptidase (EC 3.4.13.19)	DPEP1	Homo sapiens (Human)	411
H3BP43	H3BP43_HUMAN	unreviewed	Dipeptidase (EC 3.4.13.19) (Fragment)	DPEP1	Homo sapiens (Human)	111
A0A140VJI3	A0A140VJI3_HUMAN	unreviewed	Dipeptidase (EC 3.4.13.19)		Homo sapiens (Human)	411
H7BZE9	H7BZE9_HUMAN	unreviewed	Glypican-1 (Fragment)	GPC1	Homo sapiens (Human)	162
B4DTD8	B4DTD8_HUMAN	unreviewed	cDNA FLJ53916, highly similar to Glypican-3		Homo sapiens (Human)	564
B4E2M1	B4E2M1_HUMAN	unreviewed	cDNA FLJ58478, highly similar to Glypican-6		Homo sapiens (Human)	428
H7C410	H7C410_HUMAN	unreviewed	Glypican-1	GPC1	Homo sapiens (Human)	486
A0A140VK16	A0A140VK16_HUMAN	unreviewed	Dipeptidase (EC 3.4.13.19)	DPEP3 hCG_1819769	Homo sapiens (Human)	512
Q53EX3	Q53EX3_HUMAN	unreviewed	Glypican 1 variant (Fragment)		Homo sapiens (Human)	183
A0A087WX91	A0A087WX91_HUMAN	unreviewed	Glypican-5	GPC5	Homo sapiens (Human)	320
Q8IYG2	Q8IYG2_HUMAN	unreviewed	Glypican 3	GPC3	Homo sapiens (Human)	580
H0Y3U6	H0Y3U6_HUMAN	unreviewed	Glypican-3 (Fragment)	GPC3	Homo sapiens (Human)	256
C9J4Y6	C9J4Y6_HUMAN	unreviewed	Glypican-1 (Fragment)	GPC1	Homo sapiens (Human)	156
A0A1S5UZ08	A0A1S5UZ08_HUMAN	unreviewed	Glypican 3	GPC3	Homo sapiens (Human)	549
A0A2P9AQX1	A0A2P9AQX1_HUMAN	unreviewed	Dipeptidase (EC 3.4.13.19)	BQ8482_350198	Homo sapiens (Human)	352
A0A087WT82	A0A087WT82_HUMAN	unreviewed	Glypican-6	GPC6	Homo sapiens (Human)	263
A0A1B1RVA9	A0A1B1RVA9_HUMAN	unreviewed	Lipoprotein lipase (LPL) (EC 3.1.1.34)	LPL lpl	Homo sapiens (Human)	475
Q53H15	Q53H15_HUMAN	unreviewed	Glypican 3 variant (Glypican-3 splice variant A) (Fragment)	GPC3	Homo sapiens (Human)	580
I6QTG3	I6QTG3_HUMAN	unreviewed	Glypican 3 isoform 2 (Glypican 3, isoform CRA_b)	GPC3 hCG_14619	Homo sapiens (Human)	580
A0A024R4D5	A0A024R4D5_HUMAN	unreviewed	Glypican 1, isoform CRA_c	GPC1 hCG_20534	Homo sapiens (Human)	486
